yvar,post,pre,order,Wcritic,Woptim,error
y_smooth_m,2,2,1,12.5916,12.5916,0
y_smooth_m,2,3,2,14.0671,14.0671,0
y_smooth_m,2,4,2,15.5073,15.5073,0
y_smooth_m,2,5,2,16.919,16.919,0
y_smooth_m,2,6,2,18.307,18.307,0
y_smooth_m,2,7,2,19.6751,19.6751,0
y_smooth_m,3,2,1,14.0671,14.0671,0
y_smooth_m,3,3,1,15.5073,15.5073,0
y_smooth_m,3,4,2,16.919,16.919,0
y_smooth_m,3,5,2,18.307,18.307,0
y_smooth_m,3,6,2,19.6751,19.6751,0
y_smooth_m,3,7,2,21.0261,21.0261,0
y_smooth_m,4,2,1,15.5073,15.5073,0
y_smooth_m,4,3,1,16.919,16.919,0
y_smooth_m,4,4,1,18.307,18.307,0
y_smooth_m,4,5,2,19.6751,19.6751,0
y_smooth_m,4,6,2,21.0261,21.0261,0
y_smooth_m,4,7,2,22.362,22.362,0
y_smooth_m,5,2,2,16.919,16.919,0
y_smooth_m,5,3,1,18.307,18.307,0
y_smooth_m,5,4,3,19.6751,19.6751,0
y_smooth_m,5,5,2,21.0261,21.0261,0
y_smooth_m,5,6,2,22.362,22.362,0
y_smooth_m,5,7,2,23.6848,23.6848,0
y_smooth_m,6,2,2,18.307,18.307,0
y_smooth_m,6,3,3,19.6751,19.6751,0
y_smooth_m,6,4,3,21.0261,21.0261,0
y_smooth_m,6,5,3,22.362,22.362,0
y_smooth_m,6,6,3,23.6848,23.6848,0
y_smooth_m,6,7,4,24.9958,24.9958,0
y_smooth_m,7,2,2,19.6751,19.6751,0
y_smooth_m,7,3,3,21.0261,21.0261,0
y_smooth_m,7,4,3,22.362,22.362,0
y_smooth_m,7,5,3,23.6848,23.6848,0
y_smooth_m,7,6,3,24.9958,24.9958,0
y_smooth_m,7,7,3,26.2962,26.2962,0
y_jump_m,2,2,4,12.5916,12.5916,0
y_jump_m,2,3,5,14.0671,14.0671,0
y_jump_m,2,4,5,15.5073,15.5073,0
y_jump_m,2,5,6,16.919,16.919,0
y_jump_m,2,6,6,18.307,18.307,0
y_jump_m,2,7,6,19.6751,19.6751,0
y_jump_m,3,2,4,14.0671,14.0671,0
y_jump_m,3,3,5,15.5073,15.5073,0
y_jump_m,3,4,5,16.919,16.919,0
y_jump_m,3,5,6,18.307,18.307,0
y_jump_m,3,6,6,19.6751,19.6751,0
y_jump_m,3,7,6,21.0261,21.0261,0
y_jump_m,4,2,4,15.5073,15.5073,0
y_jump_m,4,3,5,16.919,16.919,0
y_jump_m,4,4,5,18.307,18.307,0
y_jump_m,4,5,5,19.6751,19.6751,0
y_jump_m,4,6,6,21.0261,21.0261,0
y_jump_m,4,7,6,22.362,22.362,0
y_jump_m,5,2,5,16.919,16.919,0
y_jump_m,5,3,6,18.307,18.307,0
y_jump_m,5,4,6,19.6751,19.6751,0
y_jump_m,5,5,6,21.0261,21.0261,0
y_jump_m,5,6,7,22.362,22.362,0
y_jump_m,5,7,7,23.6848,23.6848,0
y_jump_m,6,2,5,18.307,18.307,0
y_jump_m,6,3,6,19.6751,19.6751,0
y_jump_m,6,4,6,21.0261,21.0261,0
y_jump_m,6,5,6,22.362,22.362,0
y_jump_m,6,6,7,23.6848,23.6848,0
y_jump_m,6,7,7,24.9958,24.9958,0
y_jump_m,7,2,5,19.6751,19.6751,0
y_jump_m,7,3,7,21.0261,21.0261,0
y_jump_m,7,4,6,22.362,22.362,0
y_jump_m,7,5,6,23.6848,23.6848,0
y_jump_m,7,6,7,24.9958,24.9958,0
y_jump_m,7,7,8,26.2962,26.2962,0
